miRNA	value
hsa-miR-361-3p	1.057133
hsa-miR-1250-3p	0.2319939
hsa-miR-6073	1.284233
hsa-miR-190b	0.5327811
hsa-miR-488-3p	0.57498
hsa-miR-544b	0.20502235
hsa-miR-526b-5p	0.8683302
hsa-miR-3180-3p	2.32083
hsa-miR-4639-3p	0.600694
hsa-miR-92b-3p	0.6294093
hsa-miR-383-5p	0.723848
hsa-miR-6511b-3p	0.1906237
hsa-miR-1909-5p	0.70938
hsa-miR-4699-3p	0.202302
hsa-miR-6867-3p	0.147752
hsa-miR-548b-3p	0.4884046
hsa-miR-374c-3p	0.418159
hsa-miR-373-3p	0.70026
hsa-miR-582-5p	0.822381
hsa-miR-4760-3p	0.532472
hsa-miR-7108-3p	0.517662
hsa-miR-4803	0.710523
hsa-miR-3144-3p	0.1324477
hsa-miR-5698	0.941364
hsa-miR-3617-5p	2.41286
hsa-miR-190a-5p	0.4222502
hsa-miR-4678	0.26625
hsa-miR-642b-5p	-0.107304
hsa-miR-5704	-0.0739032
hsa-miR-4509	0.2905001
hsa-miR-548ba	0.877371
hsa-miR-1179	0.551784
