miRNA	value
hsa-miR-6764-3p	-0.1502952
hsa-miR-6887-5p	0.896194
hsa-miR-521	0.50479494
hsa-miR-4640-3p	1.082984
hsa-miR-4700-3p	0.769952
hsa-miR-4720-5p	0.547467
hsa-miR-4295	0.3175351
hsa-miR-1976	0.196269
hsa-miR-6741-3p	0.160885
hsa-miR-664b-3p	0.2790662
hsa-miR-381-5p	0.593547
hsa-miR-3606-3p	0.770711
hsa-miR-6825-3p	-0.387022
hsa-miR-93-5p	0.457713
hsa-miR-144-5p	0.426749
hsa-miR-4642	0.03431
hsa-miR-450b-5p	0.358815383
hsa-miR-548ay-5p	0.557806
hsa-miR-544a	0.8328627
hsa-miR-3134	0.652224
hsa-miR-4707-5p	1.63811
hsa-miR-518d-3p	0.822101
hsa-miR-1537-5p	0.802263
hsa-miR-548ae-3p	0.765959
hsa-miR-6884-5p	0.9088
hsa-miR-3653-5p	0.920604
hsa-miR-1284	0.3856194
hsa-miR-6826-3p	0.4231009
hsa-miR-5690	0.596711
hsa-miR-181a-3p	0.8386
hsa-miR-3614-3p	0.15110342
hsa-miR-551b-3p	0.866438
hsa-miR-30c-5p	0.3526489
hsa-miR-4286	2.38289
hsa-miR-199a-5p	0.370113
hsa-miR-6851-5p	-0.2781172
hsa-miR-30b-5p	0.2228586
hsa-let-7e-3p	0.4113616
hsa-miR-548ab	0.1099881
hsa-miR-609	1.3357416
hsa-miR-891b	0.394413
hsa-miR-1256	0.6539633
hsa-miR-106a-3p	0.2321523
hsa-miR-7843-3p	0.1325831
hsa-miR-149-3p	-0.4576306
hsa-miR-371a-5p	0.3028829
hsa-miR-520h	0.5341486
hsa-miR-1229-3p	0.634766
hsa-miR-4668-3p	0.697082
hsa-miR-6739-3p	0.5418341
hsa-miR-125a-5p	0.1863393
hsa-miR-4259	-0.003027
hsa-miR-6876-3p	0.2104377
hsa-miR-1323	0.2116636
hsa-miR-4645-3p	0.505382
hsa-miR-5087	-0.0736997
hsa-miR-3682-3p	0.1548156
hsa-miR-518a-3p	0.068419
hsa-miR-3915	0.408278
hsa-miR-185-3p	0.6200354
hsa-miR-302b-3p	0.4693906
hsa-miR-6841-3p	0.304885
hsa-miR-1303	0.2843069
hsa-miR-522-3p	0.728305
hsa-miR-211-3p	0.918768
hsa-miR-3605-3p	0.1666549
hsa-miR-622	0.511379489
hsa-miR-548x-3p	0.4117365
hsa-miR-4656	0.842214
hsa-miR-361-3p	0.492273
hsa-miR-1250-3p	0.4243455
hsa-miR-6073	0.8076365
hsa-miR-190b	0.7214877
hsa-miR-488-3p	0.1380821
hsa-miR-544b	0.565609
hsa-miR-526b-5p	0.531854
hsa-miR-3180-3p	1.038025
hsa-miR-4639-3p	0.3098653
hsa-miR-92b-3p	1.213638
hsa-miR-383-5p	0.16264508
hsa-miR-6511b-3p	1.08717
hsa-miR-1909-5p	0.1357986
hsa-miR-4699-3p	0.790193
hsa-miR-6867-3p	0.30921463
hsa-miR-548b-3p	0.3934454
hsa-miR-374c-3p	1.431337
hsa-miR-373-3p	0.86005
hsa-miR-582-5p	0.940117
hsa-miR-4760-3p	0.0678436
hsa-miR-7108-3p	1.62902
hsa-miR-4803	0.7061317
hsa-miR-3144-3p	0.421954
hsa-miR-5698	0.396868
hsa-miR-3617-5p	2.095963
hsa-miR-190a-5p	0.967866
hsa-miR-4678	-0.266258
